Designator,Mid X,Mid Y,Layer,Rotation
C1,75.900000mm,-53.200000mm,Top,90
C2,63.840000mm,-55.992500mm,Top,90
C3,61.740000mm,-61.482500mm,Top,180
C4,61.740000mm,-55.192500mm,Top,180
C5,78.800000mm,-66.026552mm,Top,-90
C6,84.280000mm,-66.046552mm,Top,-90
C7,80.280000mm,-66.046552mm,Top,-90
C8,80.410000mm,-56.625480mm,Top,180
C9,78.410000mm,-56.625480mm,Top,0
D1,82.280000mm,-65.896552mm,Top,0
D2,76.600000mm,-56.095480mm,Top,90
D3,82.975000mm,-46.250000mm,Top,180
D4,82.987500mm,-51.250000mm,Top,180
D5,82.925000mm,-42.750000mm,Top,180
J1,63.690000mm,-107.750000mm,Top,-90
J2,63.690000mm,-82.750000mm,Top,-90
J3,72.170000mm,-45.740000mm,Top,180
J4,76.760000mm,-43.600000mm,Top,90
J5,79.300000mm,-46.100000mm,Top,0
J6,73.970000mm,-52.285000mm,Top,0
J7,73.600000mm,-97.775000mm,Top,180
J8,73.700000mm,-72.750000mm,Top,180
J9,89.500000mm,-66.240000mm,Top,180
JP1,64.675000mm,-63.900000mm,Top,90
JP2,66.350000mm,-54.825000mm,Top,180
JP3,68.890000mm,-54.825000mm,Top,180
JP4,71.430000mm,-54.825000mm,Top,180
JP7,72.240000mm,-63.900000mm,Top,-90
R1,66.350000mm,-59.285000mm,Top,90
R2,68.890000mm,-59.285000mm,Top,90
R3,71.430000mm,-59.285000mm,Top,90
R4,63.840000mm,-59.392500mm,Top,-90
R5,63.840000mm,-52.792500mm,Top,90
R6,59.600000mm,-60.327500mm,Top,90
R7,59.600000mm,-58.227500mm,Top,-90
R8,59.600000mm,-52.027500mm,Top,-90
R9,59.600000mm,-54.227500mm,Top,90
R10,74.750000mm,-63.625480mm,Top,-90
R11,77.500000mm,-66.025480mm,Top,-90
R12,80.420000mm,-55.525480mm,Top,180
R13,78.410000mm,-55.525480mm,Top,0
R14,82.510000mm,-56.725480mm,Top,180
R15,82.510000mm,-55.525480mm,Top,0
R16,79.775000mm,-52.700000mm,Top,-90
R17,80.775000mm,-52.700000mm,Top,-90
R18,66.787500mm,-66.800000mm,Top,0
R19,70.250000mm,-66.800000mm,Top,0
R20,78.775000mm,-52.700000mm,Top,90
SW1,66.190000mm,-95.250000mm,Top,180
SW2,66.190000mm,-70.250000mm,Top,180
SW3,56.500000mm,-54.600000mm,Top,-90
SW4,57.500000mm,-107.500000mm,Top,-90
U1,61.740000mm,-59.242500mm,Top,90
U2,61.740000mm,-52.992500mm,Top,90
U3,79.980000mm,-61.296552mm,Top,90
U4,56.530000mm,-60.900000mm,Top,0
